City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Dawson Creek,55.7666,-120.2362,65.8,52,20,11.5,CA,1630005328
Burnie,-41.0667,145.9167,43.59,76,100,7.87,AU,1630005456
Eyrarbakki,63.863,-21.1481,54.21,95,100,16.82,IS,1630005457
Ternate,0.8,127.4,79.05,80,12,2.66,ID,1630005457
Tegul'det,57.3064,88.1667,59.76,93,0,4.43,RU,1630005457
Qaqortoq,60.7167,-46.0333,59.5,71,9,8.5,GL,1630005458
Sekoma,-24.4,23.8833,70.34,31,3,6.6,BW,1630005458
Ambilobe,-13.2,49.05,68.25,78,1,3.8,MG,1630005458
Porto Torres,40.835,8.3972,75.38,70,0,10.47,IT,1630005459
Constitución,-35.3333,-72.4167,55.8,56,6,9.53,CL,1630005214
Chumikan,54.7183,135.315,56.23,92,100,1.14,RU,1630005459
Bereda,43.2686,-7.5406,64.58,90,100,1.32,ES,1630005460
Pran Buri,12.3847,99.9098,77.49,81,99,5.1,TH,1630005460
Ozernovskiy,51.5,156.5167,53.35,98,100,5.48,RU,1630005461
Povenets,62.8487,34.8262,54.21,64,100,8.34,RU,1630005461
Port Macquarie,-31.4333,152.9167,44.56,80,6,5.82,AU,1630005461
Aykhal,66.0,111.5,38.14,93,100,15.7,RU,1630005462
Takoradze,4.8845,-1.7554,77.49,84,14,6.51,GH,1630005462
Japura,-0.3167,102.35,72.84,97,40,1.66,ID,1630005462
Shintomi,32.0785,131.4723,75.79,87,100,5.7,JP,1630005463
Kudahuvadhoo,2.6708,72.8944,82.08,77,38,13.04,MV,1630005463
Singapore,1.2897,103.8501,78.46,91,75,1.14,SG,1630005272
Xining,36.6167,101.7667,49.77,57,5,2.48,CN,1630005464
Bowmore,34.9421,-79.3031,90.81,58,12,4.0,US,1630005464
Nemuro,43.3236,145.575,61.25,99,100,6.02,JP,1630005465
Monywa,22.1167,95.1333,81.64,78,100,7.67,MM,1630005465
Kitgum,3.2783,32.8867,70.07,80,51,3.0,UG,1630005466
Abu Kamal,34.4506,40.9171,96.28,18,0,6.62,SY,1630005466
Nurota,40.5614,65.6886,78.89,20,0,4.5,UZ,1630005466
Maturin,9.75,-63.1767,88.56,53,21,9.06,VE,1630005467
Lipin Bor,60.2622,37.9763,54.7,69,84,12.82,RU,1630005467
Severo-Yeniseyskiy,60.3725,93.0408,49.33,67,7,2.39,RU,1630005467
General Roca,-39.0333,-67.5833,57.6,21,100,37.0,AR,1630005468
Vilhena,-12.7406,-60.1458,86.22,51,93,16.11,BR,1630005468
Malakal,9.5334,31.6605,72.79,91,100,3.24,SS,1630005468
Burē,10.7,37.0667,55.53,96,100,1.99,ET,1630005469
Barabai,-2.5833,115.3833,71.73,97,100,1.7,ID,1630005469
Saint-Joseph,-21.3667,55.6167,64.11,77,24,14.88,RE,1630005470
Härnösand,62.6323,17.9379,54.48,88,100,21.61,SE,1630005470
Voh,-20.9667,164.7,67.95,90,78,4.81,NC,1630005470
Sarlat-la-Canéda,44.889,1.2166,72.14,47,2,4.25,FR,1630005471
Rawson,-43.3002,-65.1023,37.69,93,40,20.71,AR,1630005471
Ostër,50.9506,30.8823,60.62,97,100,4.61,UA,1630005472
Magadan,59.5667,150.8,52.61,99,100,4.7,RU,1630005472
Nong’an,44.382,125.1685,64.81,96,0,12.62,CN,1630005472
"Burgdorf, Hanover",52.4463,10.0064,59.52,70,75,3.44,DE,1630005473
Gunnedah,-30.9833,150.25,40.62,86,7,2.71,AU,1630005473
Markivka,49.5229,39.5705,73.18,32,100,11.5,UA,1630005473
San Jose,37.3394,-121.895,78.08,44,1,3.44,US,1630005336
Manaus,-3.1019,-60.025,93.69,55,40,5.75,BR,1630005421
Mashhad,36.297,59.6062,77.14,38,0,4.61,IR,1630005474
Goubellat,36.5418,9.6633,80.82,44,0,6.08,TN,1630005474
Bealanana,-14.55,48.7333,50.5,96,2,4.47,MG,1630005475
Zhigansk,66.7697,123.3711,42.75,83,100,19.17,RU,1630005475
Paamiut,61.994,-49.6678,43.59,89,24,15.9,GL,1630005476
Kushnarenkovo,55.105,55.3508,64.78,47,43,8.61,RU,1630005476
Abéché,13.8292,20.8324,71.85,85,100,14.07,TD,1630005476
Malé,4.1748,73.5089,82.56,76,100,16.17,MV,1630005477
Illela,13.7292,5.2975,89.33,44,19,1.21,NG,1630005477
Makkah al Mukarramah,21.4267,39.8261,95.76,37,100,7.94,SA,1630005409
Egvekinot,66.3167,-179.1667,35.37,96,100,1.72,RU,1630005478
Mayumba,-3.432,10.6554,74.43,87,4,5.55,GA,1630005478
Aksarka,66.5606,67.7975,42.49,94,100,17.94,RU,1630005479
Abong Mbang,3.9833,13.1833,70.84,94,100,2.89,CM,1630005479
Russell,32.3502,-85.1999,88.41,61,40,5.75,US,1630005479
Athabasca,54.7169,-113.2854,71.31,39,74,14.85,CA,1630005480
Zacualtipán,20.65,-98.6,69.39,59,35,9.91,MX,1630005480
Collie,-33.3667,116.15,44.98,79,73,5.91,AU,1630005480
Hokitika,-42.7167,170.9667,51.78,90,100,8.1,NZ,1630005481
Pierre,44.3683,-100.351,72.52,73,90,13.8,US,1630005440
Usinsk,65.9939,57.5281,44.78,90,98,12.08,RU,1630005481
Port Blair,11.6667,92.75,79.83,83,100,11.68,IN,1630005482
Brewster,41.3973,-73.6171,91.62,58,40,1.01,US,1630005483
Blagoyevo,63.3667,47.9167,42.48,80,100,5.12,RU,1630005483
Gigmoto,13.7796,124.39,80.08,84,40,4.61,PH,1630005483
Carupano,10.6678,-63.2585,85.5,62,0,15.77,VE,1630005484
Luanda,-8.8368,13.2343,71.44,89,100,13.62,AO,1630005484
Eureka,40.8021,-124.1637,65.61,73,5,5.99,US,1630005436
Nouakchott,18.0858,-15.9785,82.33,78,27,18.79,MR,1630005485
Marawi,7.9986,124.2928,65.64,93,100,2.26,PH,1630005485
Naze,28.3667,129.4833,76.84,81,9,3.04,JP,1630005485
Ocosingo,17.0667,-92.25,76.84,35,100,5.14,MX,1630005486
Saint-Pierre,-21.3393,55.4781,65.46,82,75,9.22,RE,1630005486
Bilma,18.6853,12.9164,91.98,30,98,11.92,NE,1630005487
Moskovskiy,55.5991,37.355,63.25,94,75,8.95,RU,1630005487
Kearney,40.6995,-99.0815,84.87,74,1,10.36,US,1630005488
Puerto del Rosario,28.5004,-13.8627,74.95,78,20,13.8,ES,1630005488
Taksimo,56.3444,114.8794,56.44,67,62,3.62,RU,1630005488
Key West,24.5557,-81.7826,87.8,70,40,17.27,US,1630005324
Kresttsy,58.2452,32.5165,54.93,84,100,9.19,RU,1630005489
Vila Praia de Âncora,41.811,-8.8526,68.97,85,51,1.19,PT,1630005489
Ulaangom,49.9811,92.0667,52.74,50,14,5.32,MN,1630005490
Khovd,48.0056,91.6419,45.45,83,100,4.47,MN,1630005490
Mirny,62.5353,113.9611,45.46,83,74,9.17,RU,1630005491
Kodinsk,58.6881,99.1844,61.3,76,100,2.42,RU,1630005491
Nizwá,22.9333,57.5333,92.98,33,37,11.7,OM,1630005492
Castelnaudary,43.3183,1.9545,76.01,50,1,1.99,FR,1630005492
Belmonte,-15.8631,-38.8828,80.6,71,4,9.22,BR,1630005492
Byron Bay,-28.65,153.6167,49.51,67,0,7.9,AU,1630005493
Srandakan,-7.9386,110.2506,72.48,81,21,3.0,ID,1630005493
Jumla,29.2747,82.1838,64.47,99,100,1.48,NP,1630005494
Ilhabela,-23.7781,-45.3581,78.42,61,100,5.17,BR,1630005494
Ukiah,39.1502,-123.2078,85.77,23,1,3.44,US,1630005494
Acarí,-15.4311,-74.6158,68.99,64,96,9.06,PE,1630005495
Puerto Quijarro,-17.7833,-57.7667,93.85,20,90,3.49,BO,1630005495
Costineşti,43.95,28.6333,67.41,69,100,5.86,RO,1630005495
Westport,41.1415,-73.3579,91.15,57,1,1.01,US,1630005496
Taoudenni,22.6783,-3.9836,84.85,47,95,30.36,ML,1630005496
Kisangani,0.5167,25.2,77.36,66,6,1.63,CD,1630005497
Poya,-21.35,165.15,69.3,84,97,5.06,NC,1630005497
Tomatlán,19.9333,-105.25,85.51,71,100,5.06,MX,1630005497
Ubari,26.5921,12.7805,89.71,15,0,9.62,LY,1630005498
Verkhnyaya Inta,65.9811,60.3094,44.55,93,100,8.3,RU,1630005498
Prattville,32.464,-86.4597,88.72,59,75,6.91,US,1630005498
Huarmey,-10.0681,-78.1522,67.23,74,22,13.73,PE,1630005499
Kamaishi,39.2667,141.8833,74.77,91,47,5.3,JP,1630005499
Comodoro Rivadavia,-45.8667,-67.5,46.26,66,40,16.11,AR,1630005393
Dubbo,-32.25,148.6167,44.73,87,90,0.0,AU,1630005332
Yumen,40.2833,97.2,66.31,29,99,15.88,CN,1630005500
Pemangkat,1.1667,108.9667,76.57,88,94,4.12,ID,1630005500
DeKalb County,33.7504,-84.2333,87.98,60,20,3.44,US,1630005501
Yashkul',46.1711,45.3435,80.96,26,39,4.81,RU,1630005501
Tuatapere,-46.1333,167.6833,41.83,94,100,2.98,NZ,1630005501
Kipini,-2.5257,40.5262,75.49,80,83,16.58,KE,1630005502
Goderich,43.7501,-81.7165,77.41,78,0,12.66,CA,1630005326
Bogandé,12.9714,-0.1436,72.97,87,100,9.15,BF,1630005502
Jacala,21.0167,-99.1833,74.05,48,17,9.66,MX,1630005503
Zambezi,-13.5432,23.1047,70.66,22,10,3.27,ZM,1630005503
Krasnosel'kup,65.7,82.4667,61.45,94,100,17.07,RU,1630005503
Pangkalanbuun,-2.6833,111.6167,73.31,98,100,2.19,ID,1630005504
Uvarovka,55.5278,35.6061,57.87,97,94,5.14,RU,1630005504
Sayyan,15.1718,44.3244,70.74,28,67,11.25,YE,1630005505
Hatta,24.1167,79.6,77.61,84,100,6.67,IN,1630005505
Soyo,-6.1349,12.3689,74.28,87,64,8.95,AO,1630005505
Esim,4.8699,-2.2405,77.41,84,7,4.92,GH,1630005506
Sinnamary,5.3833,-52.95,82.81,74,42,4.99,GF,1630005506
Adré,13.4667,22.2,70.97,79,100,10.92,TD,1630005506
Tsiroanomandidy,-18.7667,46.0333,71.56,40,77,7.4,MG,1630005507
Manyana,-23.4,21.7167,79.93,21,77,14.45,BW,1630005507
San Antonio,29.4241,-98.4936,94.62,48,20,8.05,US,1630004955
Storforshei,66.4043,14.5233,49.78,76,0,2.3,NO,1630005508
Abnūb,27.2696,31.1511,88.02,24,0,10.65,EG,1630005508
Thurso,58.5927,-3.5259,53.42,89,6,6.08,GB,1630005327
Luganville,-15.5333,167.1667,74.66,80,59,6.87,VU,1630005511
Namwala,-15.7504,26.4384,73.08,25,5,7.65,ZM,1630005511
Aitape,-3.1374,142.3475,77.25,86,97,5.41,PG,1630005511
Kinango,-4.1372,39.3153,66.29,90,1,4.41,KE,1630005512
Krasnyy Luch,48.1395,38.9371,74.86,39,100,12.39,UA,1630005512
Agirish,61.9247,63.0231,49.51,86,2,8.95,RU,1630005512
Fort Nelson,58.8053,-122.7002,67.59,56,75,5.75,CA,1630005489
Astara,38.5,48.6667,66.9,49,0,3.6,AZ,1630005513
Abadzekhskaya,44.3939,40.2214,67.71,93,3,4.54,RU,1630005513
Gizo Government Station,-8.103,156.8419,81.7,76,100,11.18,SB,1630005514
Dunedin,-45.8742,170.5036,43.81,86,100,7.0,NZ,1630005514
Venezuela,8.0,-66.0,91.26,49,80,12.15,VE,1630005514
Borås,57.721,12.9401,54.84,94,100,12.86,SE,1630005515
Aden,12.7794,45.0367,88.63,63,12,6.67,YE,1630005399
Batman,37.8874,41.1322,76.8,33,0,2.3,TR,1630005468
Riberalta,-10.9833,-66.1,97.0,46,75,11.5,BO,1630005515
Lucea,18.451,-78.1736,74.86,91,100,14.18,JM,1630005516
Saint-Augustin,51.226,-58.6502,59.74,81,100,4.36,CA,1630005516
Wahiawā,21.5028,-158.0236,76.68,70,75,8.05,US,1630005517
Berlevåg,70.8578,29.0864,51.75,66,0,2.3,NO,1630005517
Kandrian,-6.2167,149.55,76.06,91,100,5.95,PG,1630005517
Ruska Poliana,49.417,31.9201,61.66,94,100,5.68,UA,1630005518
Plácido de Castro,-10.3353,-67.1856,101.93,22,100,4.36,BR,1630005518
Indramayu,-6.3264,108.32,76.93,69,4,8.55,ID,1630005518
Shebunino,46.4339,141.8603,64.17,92,62,9.13,RU,1630005519
Moerai,-22.4333,-151.3333,75.31,77,10,19.62,PF,1630005519
Dombarovskiy,50.7587,59.5386,75.92,31,0,7.72,RU,1630005519
Salta,-24.7859,-65.4117,66.87,17,0,8.99,AR,1630005520
Kaputa,-8.4689,29.6619,78.03,38,28,3.71,ZM,1630005520
Morro Bay,35.3658,-120.8499,81.54,59,6,8.01,US,1630005253
Blythe,33.6103,-114.5964,108.05,9,20,4.61,US,1630005334
Ola,59.5833,151.2833,53.49,98,100,2.28,RU,1630005521
Rāvar,31.2656,56.8055,82.62,15,0,7.56,IR,1630005521
Torbat-e Jām,35.244,60.6225,78.3,21,0,12.5,IR,1630005522
Bratsk,56.1325,101.6142,52.29,84,60,2.59,RU,1630005502
Bayir,37.2687,28.2167,73.92,45,0,2.35,TR,1630005522
Tromsø,69.6496,18.957,51.82,71,0,4.61,NO,1630005523
Kongolo,-5.3833,27.0,89.1,24,85,3.71,CD,1630005523
Bosaso,11.2842,49.1816,89.69,52,93,2.13,SO,1630005523
Manavālakurichi,8.1333,77.3,78.89,84,68,13.56,IN,1630005524
Orange Cove,36.6244,-119.3137,86.88,39,1,3.44,US,1630005524
Okato,-39.2,173.8833,47.68,92,100,16.44,NZ,1630005524
Lima,-12.0432,-77.0282,61.05,77,90,6.91,PE,1630005226
Martapura,-3.4167,114.85,75.29,100,90,1.14,ID,1630005525
Athens,37.9795,23.7162,83.62,46,0,1.01,GR,1630004760
Pishin,30.5803,66.9961,76.82,13,0,2.44,PK,1630005526
Saint-Michel-des-Saints,46.6834,-73.9159,83.68,38,0,12.03,CA,1630005328
Dzilam González,21.2833,-88.9333,89.4,51,0,10.18,MX,1630005526
Kuching,1.55,110.3333,77.22,94,40,1.14,MY,1630005526
Calbuco,-41.768,-73.1273,45.61,61,99,5.88,CL,1630005527
Kaeo,-35.1,173.7833,57.33,93,100,11.83,NZ,1630005527
Departamento de Maldonado,-34.6667,-54.9167,65.59,51,0,11.27,UY,1630005528
Eyl,7.9803,49.8164,77.59,84,18,22.17,SO,1630005528
Oskemen,49.9565,82.6119,51.76,93,0,0.0,KZ,1630005528
Salalah,17.0151,54.0924,78.89,89,75,6.91,OM,1630005529
Acapulco de Juárez,16.8634,-99.8901,87.62,62,90,12.66,MX,1630005529
Rocha,-34.4833,-54.3333,62.31,49,4,8.57,UY,1630005529
Gemena,3.25,19.7667,76.32,76,55,3.47,CD,1630005530
Pitimbu,-7.4706,-34.8086,81.19,74,16,13.91,BR,1630005530
Pyinmana,19.7333,96.2167,74.8,96,100,4.43,MM,1630005531
Burlington,39.8835,-74.6413,91.58,62,1,1.01,US,1630004990
Ayamé,5.6083,-3.1563,75.31,87,49,3.85,CI,1630005531
Kangasala,61.4638,24.076,55.26,87,100,12.17,FI,1630005532
Tiarei,-17.5333,-149.3333,75.22,76,43,15.88,PF,1630005532
Poli,-3.3333,36.8,59.04,39,0,3.22,TZ,1630005532
Sigli,5.3848,95.9609,77.16,86,58,3.78,ID,1630005533
Innisfail,-17.5333,146.0333,70.36,84,94,4.59,AU,1630005533
Coquimbo,-29.9533,-71.3436,62.33,59,0,14.97,CL,1630005534
Leshukonskoye,64.8989,45.7622,44.92,69,100,3.71,RU,1630005534
Rome,43.2128,-75.4557,88.36,58,1,1.01,US,1630005534
Makueni Boma,-1.8041,37.6203,65.34,42,0,7.0,KE,1630005535
Sechura,-5.5569,-80.8222,76.75,56,70,12.59,PE,1630005535
San Andrés,12.5847,-81.7006,86.02,70,75,6.91,CO,1630005535
